include:session-reference	@deepseek-ai/dsh-session-reference	true	active
include:file-reference-local	@deepseek-ai/dsh-file-reference-local	true	active
include:session-stats	@deepseek-ai/dsh-session-stats	true	active
include:directory-picker	@deepseek-ai/dsh-host-directory-picker-auto	true	active
include:plugin-inventory	@deepseek-ai/dsh-host-plugin-inventory	true	active
include:api-gateway	@deepseek-ai/dsh-host-apiproxy	true	active
include:cordis-host-runner	@deepseek-ai/dsh-cordis-host-runner	true	active
include:web-startup	@deepseek-ai/dsh-web-app/startup	true	active
include:webserver	@deepseek-ai/dsh-host-webserver	true	active
include:web-runtime	@deepseek-ai/dsh-web-app	true	active
include:client-hmr	@deepseek-ai/dsh-client-hmr	true	active
include:modules	@deepseek-ai/dsh-client-modules	true	active
include:connection	@deepseek-ai/dsh-client-connection	true	active
include:api-remotes	@deepseek-ai/dsh-api-remotes	true	active
include:client-runtime	@deepseek-ai/dsh-client-runtime	true	active
include:cordis-client-runner	@deepseek-ai/dsh-cordis-client-runner	true	active
include:ui-theme	@deepseek-ai/dsh-client-ui-theme	true	active
include:locale	@deepseek-ai/dsh-client-locale	true	active
include:ui-layout	@deepseek-ai/dsh-client-ui-layout	true	active
include:ui-renderer	@deepseek-ai/dsh-client-ui-renderer	true	active
include:ui-sidebar	@deepseek-ai/dsh-client-ui-sidebar	true	active
include:ui-settings	@deepseek-ai/dsh-client-ui-settings	true	active
include:ui-settings-general	@deepseek-ai/dsh-client-ui-settings-general	true	active
include:ui-settings-models	@deepseek-ai/dsh-client-ui-settings-models	true	active
include:ui-settings-plugin-inventory	@deepseek-ai/dsh-client-ui-settings-plugin-inventory	true	active
include:ui-conversation	@deepseek-ai/dsh-client-ui-conversation	true	active
include:ui-brand-official	@deepseek-ai/dsh-client-ui-brand-official	true	active
include:ui-attachment	@deepseek-ai/dsh-client-ui-attachment	true	active
include:ui-tool	@deepseek-ai/dsh-client-ui-tool	true	active
include:ui-cordis	@deepseek-ai/dsh-client-ui-cordis	true	active
include:ui-workflow-run	@deepseek-ai/dsh-client-ui-workflow-run	true	active
include:ui-deliverables	@deepseek-ai/dsh-client-ui-deliverables	true	active
include:ui-workspace	@deepseek-ai/dsh-client-ui-workspace	true	active
include:ui-input-trigger	@deepseek-ai/dsh-client-ui-input-trigger	true	active
include:ui-commands	@deepseek-ai/dsh-client-ui-commands	true	active
include:ui-skill	@deepseek-ai/dsh-client-ui-skill	true	active
include:ui-subagent	@deepseek-ai/dsh-client-ui-subagent	true	active
include:ui-reference	@deepseek-ai/dsh-client-ui-reference	true	active
include:ui-jobs	@deepseek-ai/dsh-client-ui-jobs	true	active
include:ui-goal	@deepseek-ai/dsh-client-ui-goal	true	active
include:ui-message-feedback	@deepseek-ai/dsh-client-ui-message-feedback	true	active
include:ui-model-selection	@deepseek-ai/dsh-client-ui-model-selection	true	active
include:ui-permission	@deepseek-ai/dsh-client-ui-permission-presets	true	active
include:ui-agent-preset	@deepseek-ai/dsh-client-ui-agent-preset	true	active
include:ui-settings-plugins	@deepseek-ai/dsh-client-ui-settings-plugins	true	active
include:ui-plan	@deepseek-ai/dsh-client-ui-plan	true	active
include:ui-user-questions	@deepseek-ai/dsh-client-ui-user-questions	true	active
include:ui-trajectory	@deepseek-ai/dsh-client-ui-trajectory	true	active
include:agent-presets	@deepseek-ai/dsh-agent-presets	true	active
include:takeover-mcp-filesystem	@deepseek-ai/dsh-mcp-client	true	active
1972bbe1	@deepseek-ai/dsh-host-directory-picker-browse	true	active
9c6fe7c9	@deepseek-ai/dsh-client-ui-directory-picker-browse	true	active
ae3d7e56	@deepseek-ai/cordis-plugin-hmr	true	active
